timestamp_utc	channel_name	user_id	user_name	text	thread_ts
2025-08-12T05:53:15.778659+00:00	2-2ope_会員ux設計	U05C74AQMR9	宇田紗彩/saaya uda/うださあや	<@U04H12Y7R7Y> <@U05901XJ0SF> <@U4AP4T24A> <@U06S3KHJHNF> <@U08ENE18M96> 新COPMについて8月中旬にアンケート送ろうという話になってたと思うのですが・・・  確実に聞きたいこと ①3ヶ月に1度copm取れてるか？（ここは新、旧関係なく） ②新copmは一連の流れで取れたか？  確実に聞きたいことの回答へ問い ①copmをとっての親の反応 ②取れてない場合の理由 ③取った時の時間 ④難しいところや不明なところはないか？  などを聞こうかなと思ってるのですが、プラスでこれ聞いた方がいいなどあれば教えていただけますか？:bow:	1754977995.778659
2025-08-12T06:09:40.167689+00:00	2-2ope_会員ux設計	U04H12Y7R7Y	堂面勝哉/masaya domen/どうめん まさや	copmの数字の変化幅とかもきいてもいいかも！と思いました:pray:	1754977995.778659
2025-08-12T10:24:03.249919+00:00	2-2ope_会員ux設計	U08ENE18M96	takumikoza/古座匠/こざたくみ	<@UABSDM9J6> さやかさんお疲れ様です。 先日ユーザーインタビュー打診周りでご協力をいただきありがとうございました。  今回また、同様のご依頼をお手隙でお願いすること可能でしょうか?! 今回もインタビューを数人行う予定でして、 • LINEでの文面送付 • 実施者へのアマギフ送付 をお願いできたら大変ありがたいです:pray:  :white_small_square:打診時の<https://docs.google.com/document/d/1SCRbf6yPDopwVwago_gHLfdJfUITp9Sd-2Q-9b5avdk/edit?tab=t.0|文面> :white_small_square:<https://docs.google.com/spreadsheets/d/1Y3BYUMqZ78GyRj6JKq19-iqz0ISmfQkX655sr6rUyTc/edit?gid=1504139840#gid=1504139840|LINEで打診者リスト>	1754994243.249919
2025-08-12T12:30:12.843319+00:00	2-2ope_会員ux設計	UABSDM9J6	さやか	<@U08ENE18M96> 納期いつまで大丈夫でしょうか？	1754994243.249919
2025-08-12T12:47:19.033699+00:00	2-2ope_会員ux設計	U08ENE18M96	takumikoza/古座匠/こざたくみ	今週どこかでLINE送付お願いできるとありがたいですmm <https://docs.google.com/document/d/1SCRbf6yPDopwVwago_gHLfdJfUITp9Sd-2Q-9b5avdk/edit?tab=t.0|文面> はほぼコピペOKで６人分に送付になります。	1754994243.249919
2025-08-12T12:53:22.764769+00:00	2-2ope_会員ux設計	UABSDM9J6	さやか	<@U08ENE18M96> すみません:sweat_drops: 閲覧権ってどのアドレスだったらございますでしょうか？	1754994243.249919
2025-08-12T13:19:17.283019+00:00	2-2ope_会員ux設計	U08ENE18M96	takumikoza/古座匠/こざたくみ	あ！すみませんｍｍ sayakaさんって<mailto:sayaka@papamo.net|sayaka@papamo.net> の個別アカウント持ってますか？ 見当たらず、一旦以下のアカウントにつけました	1754994243.249919
2025-08-12T13:22:22.285339+00:00	2-2ope_会員ux設計	UABSDM9J6	さやか	<mailto:sayafuku2000@gmail.com|sayafuku2000@gmail.com> です	1754994243.249919
2025-08-12T13:32:08.536509+00:00	2-2ope_会員ux設計	U08ENE18M96	takumikoza/古座匠/こざたくみ	つけましたー	1754994243.249919
2025-08-12T13:32:41.967699+00:00	2-2ope_会員ux設計	UABSDM9J6	さやか	ありがとうございます。	1754994243.249919
